track_id,track_name,track_artist,genre_name,track_popularity,album_id
5e6x5YRnMJIKvYpZxLqdpH,Fortunate Son,Creedence Clearwater Revival,rock,23,4A8gFwqd9jTtnsNwUu3OQx
5FqYA8KfiwsQvyBI4IamnY,Jump - 2015 Remaster,Van Halen,rock,53,2c965LEDRNrXXCeBOAAwns
5LNiqEqpDc8TuqPy79kDBu,Edge of Seventeen - 2016 Remaster,Stevie Nicks,rock,55,3S404OgKoVQSJ3xXrDVlp8
78MI7mu1LV1k4IA2HzKmHe,Dream A Little Dream Of Me - Single Version,"Ella Fitzgerald, Louis Armstrong",jazz,64,1y5KGkUKO0NG32MhIIagCA
6MN6yRVriszuyAVlyF8ndB,Coffee Cold,Galt MacDermot,jazz,62,6f4b9wVTkKAf096k4XG6x5
2dR5WkrpwylTuT3jRWNufa,Fly Me To The Moon,"Frank Sinatra, Count Basie",jazz,61,7gmak9ZGm10y4PtZa9SBQn
33jt3kYWjQzqn3xyYQ5ZEh,Cheek To Cheek,"Ella Fitzgerald, Louis Armstrong",jazz,60,2uqlkJu6vckJahCsp6Hfcn
1xUJ1mdLAysxNBtO9w3J2g,Stompin At The Savoy,Benny Goodman,jazz,55,33oCBSZiLbfqyOnTTQ4Tct
3GOZbK2epuHzCt5YvvVFHO,Alone Together - Rudy Van Gelder Remaster 2006,Kenny Dorham,jazz,54,4B0pF1WLB3pCaZ4eTx5U8S
1CDBaGlisZlOJzvx88lL8A,Song For My Father,Horace Silver,jazz,53,4LEnATSqKeANOJ0mLUAuCE
6rK27cC9hX0e1Chrnxo9Vn,My Romance - Remastered 2006,Gene Ammons,jazz,53,04l5TDoVZFNPvExGNdVjOj
2xm9ihELo6xwrRKrBbPql9,Body and Soul,Coleman Hawkins,jazz,53,6Ieo4Lrku0sQ63Pd9G8j3L
7ysmJhXFQtiBQlk6EZ6sks,Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,Stanley Turrentine,jazz,52,21YbbJrVCRQIxB5W2EKIbr
72PqmnVj86bfTnkFiQ9Mx9,Where We Used to Live,Esbjörn Svensson Trio,jazz,50,1FXFyWXLIdOVgjR0MaRa9y
1czzmAtPTw287TyMQEfCfg,Ruby My Dear,Roy Hargrove,jazz,49,1OGhqJimAFVAtyX7PKbakD
